text,label
"NASA confirms moon is made of cheese",0
"Scientists discover miracle cure for all cancers in one day",0
"Government to tax air you breathe starting next month",0
"World leaders meet to discuss climate change in Paris",1
"The Olympic games will be held in Tokyo this year",1
"New study shows that coffee might have health benefits",1
"Aliens landed in New York yesterday and signed a peace treaty",0
"Stock market reaches all time high amid economic recovery",1
"Local man wins lottery for the fifth time in a row using a magic wand",0
"Health officials recommend washing hands to prevent flu",1
"Vaccines contain microchips to track citizens",0
"The President signed a new bill into law today",1
"Drinking bleach cures viral infections",0
"New smartphone released with revolutionary camera technology",1
"The earth is flat and we have been lied to for centuries",0
"Billionaire gives away all his money to random people on Twitter",0
"Local community garden opens new section for vegetables",1
"Ancient pyramids found on Mars by amateur astronomer",0
"Weather forecast predicts rain for the upcoming weekend",1
"Eating chocolate helps you lose 10 pounds a week without exercise",0
"Humans live 10000 years",0
"COVID vaccine has microchips",0
"Earth is actually a giant turtle",0
"Elon Musk buys the Moon",0
"Apple releases iPhone 20 with holographic display",0
"Global warming is a hoax created by scientists",0
"Drinking coffee increases risk of heart attack",0
"Yoga cures all known diseases",0
"Supermarket sells meat from dragons",0
"Time travel is now possible for just 100 dollars",0
"United Nations declares world peace",1
"Local team wins state championship",1
"New library opens in downtown area",1
"City council approves new park project",1
"Report shows increase in employment rates",1
"SpaceX successfully launches new satellite",1
"Researchers find new species of deep sea fish",1
"Art gallery hosts new exhibition of local painters",1
"Annual marathon attracts thousands of runners",1
"University announces new scholarship program",1
"Builder Arrested After Noida Techie Drowns In Water-Filled Pit",1
"Prime Minister addresses the nation on economic reforms",1
"Reserve Bank of India keeps repo rate unchanged",1
"Sensex crosses 70000 mark for the first time",1
"Indian Space Research Organisation launches solar mission Aditya-L1",1
"Election Commission announces dates for state assembly polls",1
"New Expressway inaugurated to reduce travel time between cities",1
"Government launches new scheme for rural development",1
"India wins gold medal in Asian Games cricket",1
"Heavy rains cause waterlogging in parts of Mumbai",1
"New study shows that chocolate can improve heart health",1
"Global warming is a myth created by big corporations",0
"Drinking hot water with lemon in the morning helps with weight loss",1
"Scientists find new evidence of water on Mars",1
"Local charity raises millions for children in need",1
"New technology allows for faster data transmission speeds",1
"Report shows that more people are choosing to work remotely",1
"The secret to immortality is hidden in an ancient cave",0
"A new pill can help you learn any language in one hour",0
"The government is hiding the truth about UFOs",0
"COVID-19 was created in a lab as a bioweapon",0
"Vaccines cause autism in children",0
"The moon landing was faked in a movie studio",0
"The world will end in 2027 according to an ancient prophecy",0
"A new species of giant spider found in the Amazon rainforest",0
"New government policy aims to improve healthcare for all citizens",1
"Local business reports record breaking profits this quarter",1
"Scientists discover new planet in a nearby star system",1
"City celebrates annual festival with music and food",1
"New study suggests that regular exercise can improve mental health",1
"Drinking water from a copper vessel cures cancer",0
"Banana peel can cure warts in one day",0
"Salt water gargle kills all viruses in the throat",0
"Standing in sunlight for 10 minutes kills COVID-19",0
"Honey and lemon can replace any antibiotics",0
